dummy,ll1,ll2,ll3,ll4,ll5,ll6,ll7,ll8,ll9,ll10,ll11,ll12,ll13,ll14
tt1,104139,41717,9670,13724,20340,104139,149451,97966,70386,42056,30044,13281,45091,93584
tt2,100999,45526,9606,9887,20693,100999,125538,99994,77741,34802,35715,12666,61047,83539
tt3,103165,48685,9577,9945,20059,103165,123435,98037,79415,35476,39742,13641,57916,76054
tt4,105249,52429,9588,9982,20025,105249,124855,96787,80384,38031,43503,15444,53453,71088
tt5,107039,56340,9832,10344,20315,107039,126959,96381,81906,42737,47864,17878,52113,68316
tt6,108211,62115,12101,14339,22681,108211,130125,97476,84911,47917,54576,22001,53965,68266
tt7,120236,74043,26542,27241,39919,120236,142507,107555,97072,61975,72165,35407,67012,79780
tt8,104740,53530,25804,30352,36419,104740,144333,110526,100481,56610,71900,27766,71933,86535
tt9,102037,30639,22938,40088,34949,102037,124851,107078,89570,42354,50301,30676,64864,87603
tt10,106369,23209,21218,44555,30890,106369,118597,112898,82966,36800,37431,36744,63048,99461
tt11,99556,23730,24689,52830,38338,99556,109445,99039,65922,29545,23951,43833,53245,100031
tt12,95116,33457,35334,62535,49101,95116,107750,89101,56300,28729,26363,53575,47495,99650
tt13,92206,36623,40674,63032,49208,92206,108602,83790,50862,26217,27944,54895,41034,100301
tt14,89011,35954,42769,59912,44016,89011,110112,81238,47225,22193,31018,51002,38736,101785
tt15,93141,38119,46706,56326,41236,93141,114301,81870,48557,22036,32850,48500,43706,106837
tt16,101238,36807,46494,52291,38154,101238,124593,85650,56666,20920,30542,43294,48467,112610
tt17,110134,36819,44799,51259,39023,110134,142882,93519,72290,27409,32105,38696,51438,119016
tt18,112493,28393,38482,49331,36804,112493,154415,95112,78833,37951,28128,29458,48098,119306
tt19,100918,21503,28263,46830,34759,100918,149675,98126,69074,38916,21815,24555,35642,108716
tt20,101713,23913,22446,41819,33683,101713,157279,107733,71786,45655,22706,21722,34332,109849
tt21,94328,20271,9058,23088,20484,94328,157063,91350,64246,41551,19184,9328,21926,100853
tt22,111028,25547,9930,21573,21525,111028,162707,84933,62470,44179,21294,10140,20861,98088
tt23,108848,30966,9749,19693,20439,108848,169423,87457,62636,47545,21841,9993,21571,98285
tt24,108936,36369,9651,18766,19708,108936,173662,91007,62731,49633,23856,12248,25100,98696
tt25,109630,42150,9694,19160,18936,109630,177651,94413,62892,52094,26364,16346,27728,99138
tt26,110173,47476,9631,19397,18327,110173,180361,97576,62190,54943,30064,18292,25815,99341
tt27,111585,52376,9458,17394,17661,111585,181720,100764,59136,57008,34355,17614,24680,99764
tt28,113439,56978,9309,14330,17146,113439,182850,104265,57137,57930,38259,16421,24822,100197
tt29,116041,62114,9302,10841,17534,116041,185090,108617,56768,59321,42691,15296,26250,100706
tt30,118231,69155,11665,12128,20252,118231,188893,114639,57183,62724,49298,16304,28734,103107
tt31,131323,76751,26371,26883,40071,131323,201608,130345,67681,77178,65014,28293,41777,114963
tt32,117058,54186,24334,24459,44370,117058,199450,139269,70802,70480,70163,27255,43954,119493
tt33,111109,30270,22614,24487,51781,111109,171433,133639,65619,46919,60361,33530,37579,116365
tt34,104513,23225,22993,31327,52746,104513,153727,124646,69331,33558,47768,35766,29279,123411
tt35,86459,28061,26737,40886,54719,86459,136420,102943,65517,22891,29796,42045,22288,120549
tt36,76574,37468,34023,50058,59870,76574,127840,88768,62767,26873,26421,52557,25730,119286
tt37,72326,35412,34437,50373,57499,72326,121266,82165,59900,27082,27886,54561,25480,119789
tt38,68930,25440,29265,51750,53158,68930,120831,80407,57946,23296,31319,52436,23061,120528
tt39,70242,21690,27782,55886,51359,70242,128282,82195,58077,23629,37091,53229,22475,124458
tt40,77781,21033,29447,55812,46870,77781,140478,92328,69980,21258,35172,48698,22330,129108
tt41,92539,24061,31910,58555,43666,92539,158469,115532,87695,23306,35762,43256,24883,134221
tt42,100571,25077,28259,57326,38568,100571,167648,136133,89830,31848,30429,34198,24196,133612
tt43,91525,21489,23820,50204,36344,91525,160384,135866,80169,33766,22325,27976,27600,122154
tt44,93897,22459,20859,42191,35750,93897,161248,141296,83092,39290,20630,26107,34302,122515
tt45,86750,20075,9219,22191,22953,86750,150065,136664,76247,34247,14256,11485,24006,113423
tt46,103254,25177,10044,20851,24278,103254,143557,137467,75538,37506,18884,10509,22056,110478
tt47,100795,28257,9818,18381,23436,100795,140843,140544,75955,42465,23320,10028,20569,109796
tt48,100952,30739,9705,16958,22582,100952,139875,143579,74303,46427,25388,9916,20090,108718
tt49,101494,33273,9661,15630,21870,101494,139335,145549,70450,49089,25601,9935,19775,107533
tt50,102104,35818,9497,15016,21424,102104,138331,146385,69749,49209,28845,9971,18557,107262
tt51,102341,38452,9387,15447,21206,102341,136845,147111,69505,49894,35828,11691,18570,108165
tt52,102324,42703,9405,10609,20537,102324,135303,148212,68760,53928,42072,14027,19469,109208
tt53,102708,48976,9418,12371,20011,102708,134301,149851,68736,55935,46884,14579,20320,109404
tt54,103774,58504,12415,17855,21371,103774,135524,153258,71080,60742,53910,16701,25570,109720
tt55,117568,68890,27435,27806,40270,117568,146134,159667,87163,74296,74193,27942,44738,119446
tt56,104525,49509,26628,26572,45271,104525,147672,153876,93895,68717,77365,28383,45975,123342
tt57,99660,28637,28272,31468,53417,99660,135793,133786,88293,48877,61102,34473,32331,120709
tt58,93630,22494,26780,33036,52447,93630,135230,123593,87813,39479,47723,36946,27081,129287
tt59,76020,26903,26472,38829,51249,76020,127337,111452,78728,28070,28989,42270,24484,127951
tt60,63492,37490,38187,47353,49336,63492,122348,106630,75478,26026,26586,51524,25498,126544
tt61,54698,38698,43739,49901,41411,54698,118430,102600,73528,26422,27992,53641,25760,123560
tt62,46035,35230,45632,50634,40448,46035,114138,97612,70410,22688,24822,52144,26001,121190
tt63,44355,35478,45653,56811,37175,44355,111136,95222,67201,22785,25372,51329,27725,122748
tt64,51415,33324,42058,60263,33482,51415,112144,101413,68496,21038,28406,44119,22190,126152
tt65,68117,33395,40818,62998,38864,68117,118898,118833,80942,23063,32532,38791,38504,131106
tt66,81568,28507,33419,62354,38146,81568,120512,128766,91111,29203,26474,31510,61277,129453
tt67,79186,22043,25017,58037,36057,79186,109720,121167,86051,31870,20895,26642,61815,116729
tt68,88108,20672,21046,52563,34522,88108,112592,123696,89937,37910,25597,24406,66104,116377
tt69,86493,12329,8974,32988,21019,86493,107276,116556,82025,32840,24452,11542,61141,106645
tt70,107163,16547,9913,28768,22178,107163,108337,116051,81262,37031,29841,12127,68979,102971
tt71,108767,21674,9771,26730,21625,108767,112338,119206,84618,42638,32564,10465,75317,101628
tt72,111135,26856,9582,26052,21858,111135,115350,122613,85518,46321,35429,9868,79824,99596
tt73,111801,31838,9586,26734,22205,111801,117627,127798,82569,47494,39329,9899,83741,97388
tt74,111813,37290,9573,25970,21966,111813,119747,134245,78926,50022,41500,9946,88218,98029
tt75,112228,43051,9557,24336,21381,112228,123275,140935,76308,52997,43736,10001,85717,101109
tt76,112862,48750,9536,22743,21045,112862,126849,146588,74522,55190,45585,10288,83095,104467
tt77,113556,55687,9833,21528,21793,113556,130584,151586,73461,59205,46336,11957,81233,107933
tt78,114752,64514,12206,23338,24828,114752,135215,158185,74760,63530,48511,15602,79853,113002
tt79,129213,71712,26783,42744,43966,129213,148494,171755,86886,76801,62948,30155,92298,127682
tt80,116427,49159,25409,43351,45430,116427,154493,176631,90716,66987,65165,26934,104750,134744
tt81,115508,27443,23208,47606,51194,115508,149681,166558,78212,43029,48621,32551,107287,133843
tt82,119704,22704,22390,51224,53265,119704,156323,157243,71407,32116,40076,34182,116056,143067
