dummy,ll1,ll2,ll3,ll4,ll5,ll6,ll7,ll8,ll9,ll10,ll11,ll12,ll13,ll14
tt1,50,50,50,50,50,50,50,50,50,50,50,50,50,50
tt2,50,50,50,50,50,50,50,50,50,50,50,50,50,50
tt3,50,50,50,50,50,50,50,50,50,50,50,50,50,50
tt4,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01
tt5,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01
tt6,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01
tt7,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01
tt8,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01
tt9,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01
tt10,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt11,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt12,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt13,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt14,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt15,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt16,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02
tt17,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt18,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt19,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt20,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt21,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt22,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt23,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03
tt24,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
tt25,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
tt26,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
tt27,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
tt28,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
tt29,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
tt30,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt31,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt32,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt33,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt34,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt35,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt36,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05
tt37,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt38,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt39,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt40,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt41,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt42,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt43,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06
tt44,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07
tt45,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07
tt46,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07
tt47,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07
tt48,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07
tt49,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07,50.07
tt50,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt51,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt52,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt53,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt54,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt55,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt56,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
tt57,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt58,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt59,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt60,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt61,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt62,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt63,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09
tt64,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
tt65,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
tt66,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
tt67,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
tt68,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
tt69,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
tt70,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11
tt71,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11
tt72,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11
tt73,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11
tt74,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11
