dummy,c_tilde,epsilon,lj_min,lj_max,eta_in,eta_out,p_min,p_max,bg,cg,r_int,a_v,b_v,c_ref,c_out,c_in,a_soc,d_soc
G1,37691,1,0,9000,0,1,1000,100000,0.0644,0.95,,,,,,,,
G2,31967,1,0,9000,0,1,1000,60000,0.0645,0.59,,,,,,,,
G3,29376,1,0,9000,0,1,1000,30000,0.0593,0.5414,,,,,,,,
G4,25573,1,0,9000,0,1,1000,15000,0.0547,0.255,,,,,,,,
B1,125000,1,0,1647,0.95,0.95,0,250000,,,0.00336,10.62,214.69,1129,0.0401,3,0.801,0.801
B2,100000,1,0,1647,0.95,0.95,0,200000,,,0.0042,10.62,214.69,904,0.0401,3,0.801,0.801
B3,75000,1,0,1647,0.95,0.95,0,150000,,,0.0056,10.62,214.69,678,0.0401,3,0.801,0.801
B4,50000,1,0,1647,0.95,0.95,0,100000,,,0.0084,10.62,214.69,452,0.0401,3,0.801,0.801
B5,25000,1,0,1647,0.95,0.95,0,50000,,,0.01679,10.62,214.69,226,0.0401,3,0.801,0.801
B6,12500,1,0,1647,0.95,0.95,0,25000,,,0.03358,10.62,214.69,113,0.0401,3,0.801,0.801
